Name,Hidden,Completion Status,Community Score
Batbarian: Testament of the Primordials,False,5 - Uncategorized,58
BattleBit Remastered,False,4 - Later,89
Battlefield 3,False,5 - Uncategorized,81
BBQ DAD: First Bite,False,9 - Trash,
Be Not Afraid A.K.A. Seraphim Horror Show!?,False,9 - Trash,
BEACON,False,5 - Uncategorized,70
Bear-ly There,False,9 - Trash,
BEAUTIFUL DESOLATION,False,5 - Uncategorized,78
Before I Forget,False,5 - Uncategorized,70
Beglitched,False,5 - Uncategorized,80
Behind the Masc,False,9 - Trash,
Being,False,9 - Trash,
Bem Feito,False,9 - Trash,
Beneath a Steel Sky,False,5 - Uncategorized,77
"Beppo's Hole in One Golf",False,9 - Trash,
Beyond The Bow,False,9 - Trash,
Bezier (PC),False,9 - Trash,
BFF or Die,False,5 - Uncategorized,70
Bicyclism EP,False,5 - Uncategorized,70
"Binky's Trash Service",False,9 - Trash,
BioShock 2 Remastered,False,3 - Plan to Play,82
BioShock Infinite: Complete Edition,False,3 - Plan to Play,89
BioShock Remastered,False,3 - Plan to Play,83
Black Box,False,9 - Trash,
Black Desert,False,5 - Uncategorized,74
Black Widow: Recharged,False,5 - Uncategorized,
BlackJack Math,False,9 - Trash,
Blast Rush,False,9 - Trash,
Bleed,False,5 - Uncategorized,70
Bleed 2,False,5 - Uncategorized,70
Blinck Island Returns,False,9 - Trash,
Blobbins,False,9 - Trash,
Block Swap,False,9 - Trash,
Blood Under the Bridge,False,9 - Trash,
BLOOD VOID MASS,False,9 - Trash,
Bloomblebee,False,9 - Trash,
Bloons TD 6,False,1 - Playing,76
Boa Retina,False,9 - Trash,
Bomber Crew,False,5 - Uncategorized,77
Bombing!!: A Graffiti Sandbox,False,9 - Trash,
Bonbon,False,5 - Uncategorized,60
Bond: Wish of the Forest,False,9 - Trash,
Book of Demons,False,5 - Uncategorized,71
Book of Demons,False,5 - Uncategorized,78
Book of Eos,False,9 - Trash,
Borb the Birb,False,9 - Trash,
"Borbo's Quest",False,9 - Trash,
Borderlands 3,False,3 - Plan to Play,78
BOTOLO,False,9 - Trash,
Bouncy Cars,False,9 - Trash,
BOX,False,9 - Trash,
Boys Work,False,9 - Trash,
Bring Back The Sun by Daniel da Silva,False,9 - Trash,
Bring Your Own Oxygen,False,9 - Trash,
Bringris,False,9 - Trash,
BROCCOLI QUEST,False,9 - Trash,
Broken Age,False,5 - Uncategorized,75
Brothers - A Tale of Two Sons,False,5 - Uncategorized,82
Bugspeed Collider,False,9 - Trash,
Build a Bard,False,9 - Trash,
Build a Druid,False,9 - Trash,
Building Relationships,False,9 - Trash,
Bullet Beat,False,9 - Trash,
Bullet Heaven 2,False,5 - Uncategorized,80
Bumble Butt,False,9 - Trash,
Bunflower,False,9 - Trash,
Bunnies vs. Bunnies: Ukraine Edition,False,9 - Trash,
Bunny Hill Horror,False,9 - Trash,
Bunny Hill Horror: Bunny Boiler,False,9 - Trash,
"Bury me, my Love",False,5 - Uncategorized,50
Butterflies Episode 1: Rudies,False,9 - Trash,
Butterflies Episode 2: Getting Up,False,9 - Trash,
butterflowers,False,9 - Trash,
Button City,False,5 - Uncategorized,
Caduceus,False,9 - Trash,
Calico,False,5 - Uncategorized,46
Call of Duty,False,5 - Uncategorized,60
Call of Duty: Modern Warfare,False,5 - Uncategorized,81
Call of the Sea,False,5 - Uncategorized,73
Call of the Wild: The Angler,False,5 - Uncategorized,
Calm Horizon,False,9 - Trash,
Can Androids Pray: Blue,False,9 - Trash,
Can Androids Pray: Red,False,9 - Trash,
Candylight,False,9 - Trash,
Cannonhead Clash (Atari 2600),False,9 - Trash,
Cantrip,False,9 - Trash,
Canvas Colors: In The Moving City,False,9 - Trash,
Captain Backwater,False,9 - Trash,
Car Mechanic Simulator 2018,False,5 - Uncategorized,74
Card Hog,False,5 - Uncategorized,80
Cardful Planning,False,9 - Trash,
Cardinal Chains,False,9 - Trash,
Cardinal Cross,False,5 - Uncategorized,70
Cat Ace,False,9 - Trash,
Cat Tower,False,9 - Trash,
Cathode Ray Tube VR,False,9 - Trash,
Catlandia: Crisis at Fort Pawprint,False,9 - Trash,
Catlateral Damage,False,5 - Uncategorized,80
Catlateral Damage: Remeowstered,False,9 - Trash,
Cats are Liquid - A Better Place,False,5 - Uncategorized,70
Cats are Liquid - A Light in the Shadows,False,5 - Uncategorized,80
Cattails,False,5 - Uncategorized,91
Catty & Batty: The Spirit Guide,False,9 - Trash,
Cave Story+,False,5 - Uncategorized,87
Cecconoid,False,9 - Trash,
Celeste,False,4 - Later,88
Celestial Links,False,9 - Trash,
Cellular Harvest: Purple,False,9 - Trash,
Centipede Recharged,False,5 - Uncategorized,
Central Fugitive,False,9 - Trash,
Central Limit Theorem,False,9 - Trash,
Chambara,False,9 - Trash,
Chamber.Repeat();,False,9 - Trash,
Changeling,False,5 - Uncategorized,70
Changes,False,9 - Trash,
Chess and Dungeons,False,9 - Trash,
Chimpology,False,5 - Uncategorized,70
Chivalry 2,False,5 - Uncategorized,80
Chivalry 2 - Public Testing,True,0 - New,
Choice Chamber,False,5 - Uncategorized,70
Chronicles of two Heroes,False,9 - Trash,
Chronology: Time Changes Everything,False,9 - Trash,
Circa Infinity,False,5 - Uncategorized,80
Circus Electrique,False,5 - Uncategorized,
Cities Skylines,False,5 - Uncategorized,81
City of Brass,False,5 - Uncategorized,39
City of Gangsters,False,9 - Trash,
cityglitch,False,9 - Trash,
Clam Man,False,5 - Uncategorized,70
Clash Force,False,5 - Uncategorized,70
Clean ATTACK!,False,9 - Trash,
Cleansuit,False,5 - Uncategorized,70
CLOSED HANDS,False,9 - Trash,
Cloud Gardens,False,5 - Uncategorized,
Cloud Serpent,False,9 - Trash,
Code Dungeon,False,9 - Trash,
Codemancer,False,9 - Trash,
Collateral Thinking DX,False,9 - Trash,
Color Jumper,False,9 - Trash,
Combo Postage,False,9 - Trash,
Commune Corvidae,False,9 - Trash,
Company of Heroes 2,False,5 - Uncategorized,78
Concave Shooter,False,9 - Trash,
Concentric,False,9 - Trash,
Containment,False,5 - Uncategorized,80
Contractors VR,False,5 - Uncategorized,80
Control,False,3 - Plan to Play,83
Control : Override,False,9 - Trash,
Conversations With My Anxiety,False,9 - Trash,
"Cook, Serve, Delicious! 2!!",False,5 - Uncategorized,80
"Cook, Serve, Delicious! 3?!",False,5 - Uncategorized,80
Cookies,False,5 - Uncategorized,30
co-open,False,9 - Trash,
Coriander and The Fall of Orion,False,9 - Trash,
Corridor Z,False,5 - Uncategorized,69
Cosmic Courier: Trapped in Limbo,False,9 - Trash,
Cosmic Express,False,5 - Uncategorized,67
Cosmic Rochambo,False,9 - Trash,
Couch Goblins,False,9 - Trash,
Counter-Strike 2,False,2 - Online,69
Counter-Strike: Source,False,5 - Uncategorized,79
Crashlands,False,5 - Uncategorized,85
Crawl Space,False,9 - Trash,
Crescent Loom,False,9 - Trash,
Cris Tales,False,5 - Uncategorized,78
"CRNVRS (en, updated version)",False,9 - Trash,
Cross The Road,False,9 - Trash,
CrossCode,False,5 - Uncategorized,97
