Name,Hidden,Completion Status,Community Score
Hiding Spot,False,5 - Uncategorized,70
Highway Blossoms: Remastered,False,9 - Trash,
Hi-Score Boi,False,9 - Trash,
HITMAN,False,6 - Completed,81
hollow,False,9 - Trash,
Home - A Unique Horror Adventure,False,9 - Trash,
Homebound,False,9 - Trash,
Homeworld Remastered Collection,False,5 - Uncategorized,93
Homeworld: Deserts of Kharak,False,5 - Uncategorized,82
Homing,False,9 - Trash,
Homunculus Hotel,False,9 - Trash,
Honey Twigs,False,9 - Trash,
Hood Outlaws and Legends,False,5 - Uncategorized,
"Hope's Peak",False,9 - Trash,
Hoplegs,False,9 - Trash,
Hopper,False,9 - Trash,
Horizon Chase Turbo,False,5 - Uncategorized,81
HORIZON VANGUARD,False,9 - Trash,
Hot Pot Panic,False,9 - Trash,
How to Win - Season One,False,9 - Trash,
Hue,False,5 - Uncategorized,89
Hungry Frog,False,9 - Trash,
Hunt: Showdown,False,2 - Online,76
Hunt: Showdown (Test Server),True,5 - Uncategorized,76
"Hunter's Moon Remastered (C64)",False,9 - Trash,
Hyperplex 3D,False,9 - Trash,
Hyperspace Dogfights,False,5 - Uncategorized,60
Hypnagogia 無限の夢 Boundless Dreams,False,9 - Trash,
"I don't belong - A visual Novel",False,9 - Trash,
I Found a New Friend,False,9 - Trash,
"I Have Low Stats But My Class Is ""Leader"", So I Recruited Everyone I Know To Fight The Dark Lord",False,9 - Trash,
i hurt myself - postjam edition,False,9 - Trash,
Idle Champions of the Forgotten Realms,False,5 - Uncategorized,44
IGEO,False,9 - Trash,
Il Filo Conduttore,False,9 - Trash,
Illusory Dreamlight 1: Deprimerie,False,9 - Trash,
"I'm a love interest in my childhood friend's reverse harem!!!",False,9 - Trash,
Image of Perfection,False,9 - Trash,
Imaginaria,False,9 - Trash,
Imperishable Memories,False,9 - Trash,
In Between,False,5 - Uncategorized,70
In Extremis,False,9 - Trash,
In Sound Mind,False,5 - Uncategorized,80
In The Hollow of the Valley,False,9 - Trash,
inbento,False,9 - Trash,
INDEPENDANT VIDEO VIDEO GAME,False,9 - Trash,
Indigo Child,False,9 - Trash,
Infini,False,5 - Uncategorized,70
Infiniboss,False,9 - Trash,
INMOST,False,5 - Uncategorized,79
Inner Tao,False,9 - Trash,
Inside | Out,False,9 - Trash,
Inside The Mirror,False,9 - Trash,
Insurmountable,False,5 - Uncategorized,78
Intelligent Design: An Evolutionary Sandbox,False,5 - Uncategorized,50
Interactivity: The Interactive Experience,False,9 - Trash,
Interstellaria,False,5 - Uncategorized,50
inter-view,False,9 - Trash,
Intra-System: Trust Issues,False,9 - Trash,
Invertio,False,9 - Trash,
Invincible Presents: Atom Eve,False,5 - Uncategorized,
Iratus,False,5 - Uncategorized,69
Is Lupin Still Flirting?,False,9 - Trash,
Ise & Kai: Chosen Throne,False,9 - Trash,
Islets,False,5 - Uncategorized,86
Isolation Story,False,9 - Trash,
It Takes Two,True,5 - Uncategorized,89
It Takes Two,False,1 - Playing,94
"It Takes Two - Friend's Pass",False,5 - Uncategorized,
"It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game",False,9 - Trash,
"Izil's Adventures: Blackfeather's Legacy",False,9 - Trash,
Jabberwocky,False,9 - Trash,
Jam and the Mystery of the Mysteriously Spooky Mansion,False,9 - Trash,
Jardin,False,9 - Trash,
Jazz Jackrabbit 2: The Christmas Chronicles,False,9 - Trash,
Jazz Jackrabbit 2: The Secret Files,False,9 - Trash,
JB Hairboll in Murder Flub,False,9 - Trash,
Jetscout: Mystery of the Valunians,False,9 - Trash,
Jezebel and the Flame,False,9 - Trash,
Jitsu Squad,False,5 - Uncategorized,
Jotun: Valhalla Edition,False,5 - Uncategorized,79
Jupitron Game Collection Vol.1,False,9 - Trash,
Jupitron Game Collection Vol.4 - Middleware,False,9 - Trash,
Just Another Day at the Office,False,9 - Trash,
Just Die Already,False,5 - Uncategorized,
Kabaret,False,9 - Trash,
Kaiju Big Battel: Fighto Fantasy,False,5 - Uncategorized,70
Kaiju Klimb,False,9 - Trash,
KAIMA,False,9 - Trash,
Kakatte Koi Yo!,False,5 - Uncategorized,70
Kaleidoscope,False,9 - Trash,
Kane & Lynch 2: Dog Days,False,5 - Uncategorized,62
Karlson Run,False,9 - Trash,
KartRider: Drift,False,5 - Uncategorized,70
Keep Moving Forward,False,9 - Trash,
KEO,False,5 - Uncategorized,49
Kerbal Space Program,False,5 - Uncategorized,89
Kerbal Space Program,True,5 - Uncategorized,89
Kero-Go!,False,9 - Trash,
Khronos-X,False,9 - Trash,
KIDS,False,5 - Uncategorized,62
Kill the Superweapon,False,5 - Uncategorized,70
Killing Floor 2,False,5 - Uncategorized,73
KillingFloor2Beta,False,9 - Trash,
Kindling Spirits,False,9 - Trash,
King of Seas,False,5 - Uncategorized,
Kingdom Two Crowns,False,5 - Uncategorized,85
Kiwi,False,9 - Trash,
Klang 2,False,9 - Trash,
Knight & Damsel,False,5 - Uncategorized,
Knight Bewitched,False,5 - Uncategorized,70
Knight Bewitched 2,False,9 - Trash,
Knights of the Round Torus,False,9 - Trash,
"Knight's Retreat",False,5 - Uncategorized,83
Korpus: Buried over the Black Soil,False,9 - Trash,
Koto,False,9 - Trash,
La maleta,False,9 - Trash,
Lacrymo Tennis 2016 (+ 2018),False,9 - Trash,
Landlord of the Woods,False,9 - Trash,
Lara Croft and the Temple of Osiris,False,5 - Uncategorized,65
Laser Paddles,False,9 - Trash,
Last Fleet,False,9 - Trash,
Last Horizon,False,5 - Uncategorized,80
Last Knight: Rogue Rider Edition,False,5 - Uncategorized,80
Last Train To Tranz-Central (ZX Spectrum),False,9 - Trash,
Lava Golf,False,9 - Trash,
Lawn Buster for Hire,False,9 - Trash,
LAZA KNITEZ!!,False,9 - Trash,
League of Legends,False,2 - Online,76
Learn Japanese To Survive - Hiragana Battle,False,5 - Uncategorized,80
Learn Japanese To Survive! Kanji Combat,False,5 - Uncategorized,70
Left 4 Dead,False,5 - Uncategorized,80
Left 4 Dead 2,False,7 - Dropped,82
Legend of Hand,False,5 - Uncategorized,70
Legend of the Lost Dragons,False,9 - Trash,
Legends of Runeterra,False,7 - Dropped,80
Legends of Runeterra,True,5 - Uncategorized,80
Leggite Luta Livre,False,9 - Trash,
Legion TD 2,False,2 - Online,60
"LEGO Builder's Journey",False,5 - Uncategorized,80
"Lenna's Inception",False,5 - Uncategorized,70
Lesbian Mothman Hunters,False,9 - Trash,
Letters Long Lost,False,9 - Trash,
Liberated,False,5 - Uncategorized,69
Lieve Oma,False,5 - Uncategorized,
Light Borrower,False,9 - Trash,
LightUp!,False,9 - Trash,
"LIL' DRONE",False,9 - Trash,
Lillyann,False,9 - Trash,
Limiter!,False,9 - Trash,
Linearity,False,9 - Trash,
little boats of farewell,False,9 - Trash,
Little Burned Maiden,False,9 - Trash,
Little Square Things,False,9 - Trash,
LiveScream,False,9 - Trash,
Liyla and The Shadows Of War,False,9 - Trash,
Lizard Lady vs the Cats,False,9 - Trash,
Lizzi Crossing,False,9 - Trash,
Loco Motive (Game Jam),False,9 - Trash,
Locomancer,False,5 - Uncategorized,70
Lofi Hip Hop Worlds To Study In,False,9 - Trash,
Lonely People Potion Shop,False,9 - Trash,
Long Gone Days,False,5 - Uncategorized,70
Long Journey Home,False,9 - Trash,
LongStory,False,5 - Uncategorized,60
Loop Hero,False,3 - Plan to Play,76
Lore Distance Relationship,False,9 - Trash,
Lost,False,9 - Trash,
Lost Ark,False,7 - Dropped,72
Lost Castle,False,5 - Uncategorized,57
Lost Dreams,False,9 - Trash,
LOST ORBIT: Terminal Velocity,False,9 - Trash,
Lost Potato,False,9 - Trash,
"LouveSystems'  TrackMasters",False,9 - Trash,
LOVE 2: kuso,False,5 - Uncategorized,70
Lucid: Parables of the Ubermensch,False,9 - Trash,
Lucifer Within Us,False,9 - Trash,
Luck be a Landlord,False,9 - Trash,
Luminous,False,9 - Trash,
Luna,False,9 - Trash,
Lunarrota,False,9 - Trash,
Lure of the Temptress,False,5 - Uncategorized,75
Lust for Darkness,False,5 - Uncategorized,67
Lust from Beyond: M Edition,False,5 - Uncategorized,66
"Lutra's Monologue",False,9 - Trash,
Lydia,False,5 - Uncategorized,67
LYNE,False,5 - Uncategorized,56
Macbat 64,False,5 - Uncategorized,70
Mad Devils,False,9 - Trash,
Madball,False,9 - Trash,
Mafia,False,5 - Uncategorized,87
MAGEROOM,False,9 - Trash,
Mages of Mystralia,False,5 - Uncategorized,80
Magic Trick,False,9 - Trash,
Magic Wand,False,5 - Uncategorized,70
Magnibox,False,5 - Uncategorized,70
Make It Last,False,9 - Trash,
Make It Last: While You Can,False,9 - Trash,
Maneater,False,5 - Uncategorized,73
Map Pack,False,5 - Uncategorized,50
Marchland,False,9 - Trash,
Marginalia,False,5 - Uncategorized,70
Martial Cards,False,9 - Trash,
Martian Space Blaster,False,9 - Trash,
MARVEL SNAP,False,2 - Online,87
"Marvel's Guardians of the Galaxy",False,5 - Uncategorized,81
"Marvel's Guardians of the Galaxy: Social-Lord Outfit",False,5 - Uncategorized,
"Marvel's Midnight Suns",False,4 - Later,76
Mastermind Classic,False,9 - Trash,
Math Labyrinth,False,9 - Trash,
"Maudelyn's Quest",False,9 - Trash,
MAYHEM,False,9 - Trash,
Maze Of Bears,False,9 - Trash,
Mech_Romancer Charity Bundle 1,False,9 - Trash,
Mech_Romancer Charity Bundle 2,False,9 - Trash,
Meditation 5,False,9 - Trash,
Memories of East Coast,False,9 - Trash,
Mending Wall,False,9 - Trash,
MENOS: PSI-SHATTER,False,9 - Trash,
Meta Form,False,9 - Trash,
Metamorphabet (2015),False,9 - Trash,
MetaWare High School (Demo),False,9 - Trash,
Metori,False,9 - Trash,
Metro Exodus,False,5 - Uncategorized,88
Metro Exodus Enhanced Edition,False,5 - Uncategorized,83
Metro: Last Light,False,5 - Uncategorized,83
Metro: Last Light Complete Edition,False,5 - Uncategorized,92
MewnBase,False,5 - Uncategorized,80
Micro Dash,False,9 - Trash,
Micron,False,5 - Uncategorized,80
Microscope Madness,False,9 - Trash,
Midnight on the Milky Way -- Complete,False,9 - Trash,
Midnight Scenes Ep.1: The Highway (Special Edition),False,9 - Trash,
Midnight Scenes Ep.2: The Goodbye Note (Special Edition),False,9 - Trash,
Midnight Scenes: The Nanny,False,9 - Trash,
Might and Magic VIII: Day of the Destroyer,False,5 - Uncategorized,81
Mighty Fight Federation,False,5 - Uncategorized,
Milkmaid of the Milky Way,False,5 - Uncategorized,70
"Millikan's Reach",False,9 - Trash,
"Milo's Quest",False,9 - Trash,
Mindustry,False,3 - Plan to Play,94
MineFinitum,False,9 - Trash,
Mini Metro,False,4 - Later,77
Minion Masters,False,5 - Uncategorized,90
"Mini's Magic World",False,9 - Trash,
Ministry of Broadcast,False,5 - Uncategorized,79
Minit,False,3 - Plan to Play,72
Minit Fun Racer,False,9 - Trash,
"Mirror's Edge Catalyst",False,6 - Completed,69
"Mirror's Edge Catalyst",True,5 - Uncategorized,69
MiTOS,False,9 - Trash,
Mixed Feelings,False,9 - Trash,
Mixolumia,False,5 - Uncategorized,
MMM: Murder Most Misfortunate,False,5 - Uncategorized,70
Model Builder,False,9 - Trash,
Monaco,False,5 - Uncategorized,71
monad,False,9 - Trash,
Money Garden,False,9 - Trash,
Monster Pub Chapter 1,False,9 - Trash,
Monster Pub Chapter 2,False,9 - Trash,
Monster Pub Chapter 3,False,9 - Trash,
Monstrata Fracture,False,9 - Trash,
Moon and Lou,False,9 - Trash,
Moon Hunters,False,5 - Uncategorized,53
Moonstone Deep,False,9 - Trash,
Mop Boy Demo but better,False,9 - Trash,
MORDHAU,False,5 - Uncategorized,75
Mortal Kombat 11,False,5 - Uncategorized,86
Mortal Shell,False,5 - Uncategorized,75
Mortal Shell Tech Beta,False,9 - Trash,
Mostly Intense Monster Defense,False,5 - Uncategorized,70
Motel 666,False,9 - Trash,
Mother Island,False,9 - Trash,
Motorcycle Mechanic Simulator 2021,False,5 - Uncategorized,70
Mouse Corp.,False,9 - Trash,
"Move 'n' Bloom",False,9 - Trash,
Moving (On),False,9 - Trash,
Moving Out,False,3 - Plan to Play,71
Muffin Fight VR,False,9 - Trash,
Multilytheus,False,9 - Trash,
MultiVersus,False,2 - Online,86
Murder at the Cat Show,False,9 - Trash,
MUSCLE WORLD,False,9 - Trash,
Mutant Year Zero Road to Eden,False,5 - Uncategorized,84
Mutiny Island,False,9 - Trash,
My Little Pony: Super Ethical Shipping Climax!,False,9 - Trash,
My Nuclear Octopus,False,9 - Trash,
My Personal Hilopet,False,9 - Trash,
Mysteries Under Lake Ophelia,False,9 - Trash,
Nainai’s Recipe,False,9 - Trash,
NAIR - With Rollback,False,9 - Trash,
Narita Boy,False,5 - Uncategorized,77
Nasty Little Man,False,9 - Trash,
Naughty Elves - Christmas puzzle game,False,9 - Trash,
Nauticrawl,False,5 - Uncategorized,80
"Nebs 'n Debs (NES)",False,9 - Trash,
NecroWorm,False,5 - Uncategorized,50
Nectar of the Gods: Offline Edition,False,9 - Trash,
Neon Abyss,False,5 - Uncategorized,71
Neon Baller 0.1,False,9 - Trash,
Neon Depth,False,9 - Trash,
NEON STRUCT,False,5 - Uncategorized,80
NEO-PROGRAMS,False,9 - Trash,
Nepenthe,False,5 - Uncategorized,70
Neurodeck: Psychological Deckbuilder,False,9 - Trash,
Never Alone (Kisima Ingitchuna),False,5 - Uncategorized,70
Neverinth,False,5 - Uncategorized,69
Neverout,False,5 - Uncategorized,60
New Spirits,False,9 - Trash,
Newtraction,False,9 - Trash,
Nex Machina,False,5 - Uncategorized,80
NEXT JUMP: Shmup Tactics,False,5 - Uncategorized,70
Nib,False,9 - Trash,
Night Call,False,5 - Uncategorized,67
"Nina Aquila: Legal Eagle, Season One",False,9 - Trash,
No One Goes Alone,False,9 - Trash,
NO THING,False,5 - Uncategorized,31
No Wheels Racing,False,9 - Trash,
Nonsense Soccer,False,9 - Trash,
NoSeq,False,9 - Trash,
Not the Robots,False,5 - Uncategorized,45
Notebook Artillery,False,9 - Trash,
Nuclear Throne,False,3 - Plan to Play,70
Numbertron (Sharp MZ),False,9 - Trash,
O   O   O,False,9 - Trash,
Obduction,False,5 - Uncategorized,79
Obstacles,False,9 - Trash,
Oceanwork,False,9 - Trash,
OCHITSUBAKI DEMO,False,9 - Trash,
"Oh Jeez, Oh No, My Rabbits Are Gone!!!",False,9 - Trash,
"Old Man's Journey",False,5 - Uncategorized,68
OMEGANAUT,False,9 - Trash,
Once Upon A Crime in the West,False,9 - Trash,
Only One Burn,False,5 - Uncategorized,60
Operation STEEL,False,9 - Trash,
Orbital Racer,False,5 - Uncategorized,50
Orcs Must Die! 3,False,5 - Uncategorized,80
Order A Pizza: A Visual Novel,False,9 - Trash,
Ori and the Blind Forest,False,3 - Plan to Play,88
Ori and the Blind Forest: Definitive Edition,False,3 - Plan to Play,86
Orwell: Keeping an Eye on You,False,9 - Trash,
Ossuary,False,5 - Uncategorized,70
Other Minds,False,9 - Trash,
Ouroboros: The Sacrifice,False,9 - Trash,
Out For Delivery,False,9 - Trash,
Out of Line,False,5 - Uncategorized,
Out of Reach: Treasure Royale,False,5 - Uncategorized,58
Over My Dead Body,False,9 - Trash,
Overcooked! 2,False,5 - Uncategorized,81
Overwatch 2,False,7 - Dropped,65
PachaMama,False,9 - Trash,
Paint Game,False,9 - Trash,
PALACE OF WOE,False,9 - Trash,
Pale Cachexia,False,9 - Trash,
Panic Factory,False,9 - Trash,
Paper Boats,False,9 - Trash,
Para//ax,False,9 - Trash,
Paragon: The Overprime,False,5 - Uncategorized,63
ParamediCats,False,9 - Trash,
ParaMonsters and the Haunted Escape Room,False,9 - Trash,
PARANOIHELL,False,9 - Trash,
Parcels And Pollen,False,9 - Trash,
PARTICLE MACE,False,5 - Uncategorized,80
Partition Sector,False,9 - Trash,
Pathfinder: Kingmaker,False,3 - Plan to Play,86
Pathway,False,5 - Uncategorized,73
Pawnbarian,False,5 - Uncategorized,85
Pawndemonium,False,9 - Trash,
PAYDAY 2,False,3 - Plan to Play,74
PDF-Suite Standard,False,9 - Trash,
Peace of Mind,False,9 - Trash,
Pebble Witch,False,9 - Trash,
Peck N Run,False,9 - Trash,
Penance,False,9 - Trash,
Pendula Swing: The Complete Journey,False,9 - Trash,
PepaFatal,False,9 - Trash,
PGA TOUR 2K21,False,5 - Uncategorized,70
PhasR,False,9 - Trash,
Philosophy Fantasy,False,9 - Trash,
PHN-HOME,False,9 - Trash,
Pico-8 Multicart,False,9 - Trash,
piCOLUMNS,False,9 - Trash,
Pictassembler,False,9 - Trash,
Pig Eat Ball,False,5 - Uncategorized,70
Pikuniku,False,3 - Plan to Play,64
Pillars on Poppy Hills,False,9 - Trash,
Pipe Push Paradise,False,5 - Uncategorized,70
"PIPO'S ON THE RUN",False,9 - Trash,
Pippu - Bauble Quest,False,9 - Trash,
Pitman,False,9 - Trash,
Pixel Driver - Fast paced infinite driving,False,9 - Trash,
Pixel Fireplace,False,9 - Trash,
Pixel Session Vol.1,False,9 - Trash,
Pixel Wheels,False,9 - Trash,
Pixels Out of Space,False,9 - Trash,
Pixplode,False,5 - Uncategorized,66
Pixross,False,9 - Trash,
Planet Diver,False,5 - Uncategorized,70
Planetary grapple,False,9 - Trash,
Plant Down,False,9 - Trash,
Playground,False,9 - Trash,
Pleroma,False,9 - Trash,
Plunge,False,5 - Uncategorized,70
Polyroll,False,5 - Uncategorized,70
Popup Dungeon,False,5 - Uncategorized,73
Portal,False,6 - Completed,97
Portal 2,False,6 - Completed,98
Portal Dogs,False,9 - Trash,
Possession,False,9 - Trash,
Post Void,False,5 - Uncategorized,90
Potion Prodigy,False,9 - Trash,
PRAGMA,False,9 - Trash,
Predestination,False,5 - Uncategorized,50
Prehistoric Dude,False,9 - Trash,
Pressure,False,9 - Trash,
Prey,False,3 - Plan to Play,75
Prison of the Magi: Ch. 0,False,9 - Trash,
ProcrastiTyper,False,9 - Trash,
Project MALLOW,False,9 - Trash,
Project SNAQE,False,9 - Trash,
Promesa,False,9 - Trash,
PROVIDER,False,9 - Trash,
Psychoballs,False,9 - Trash,
PUBG: BATTLEGROUNDS,False,2 - Online,57
Pullfrog,False,9 - Trash,
Pumpkin Eater,False,9 - Trash,
"Pupper's Garden",False,9 - Trash,
Purple Noise Echo,False,9 - Trash,
Push It In,False,9 - Trash,
Pushamo,False,9 - Trash,
Putahe ng Ina Mo: Sinigang Edition,False,9 - Trash,
Putrid Shark,False,9 - Trash,
Puzzle Pack 1,True,0 - New,
Puzzle Pack 2,True,0 - New,
Puzzling Peaks EXE,False,9 - Trash,
Pyo,False,9 - Trash,
Q.U.B.E. 10th Anniversary,False,5 - Uncategorized,
Q.U.B.E. 2,False,5 - Uncategorized,65
Q.U.B.E. 2 Soundtrack,True,0 - New,
Qavo,False,9 - Trash,
QLRZ,False,9 - Trash,
QUACK ATTACK 1985: TURBO DX EDITION,False,9 - Trash,
Quadrilateral Cowboy,False,5 - Uncategorized,88
Quake Champions,False,5 - Uncategorized,73
Quantum Break,False,5 - Uncategorized,84
Quench,False,9 - Trash,
Quest of Dungeons,False,5 - Uncategorized,76
Quest Of Graal DX,False,9 - Trash,
Quible Sphere,False,9 - Trash,
Quiet as a Stone,False,5 - Uncategorized,60
RADARjAM,False,9 - Trash,
Radio Commander,False,5 - Uncategorized,72
Rakete,False,9 - Trash,
RB: Axolotl,False,9 - Trash,
RD Mars,False,9 - Trash,
Ready or Not,False,4 - Later,88
Rebel Galaxy,False,5 - Uncategorized,79
Rebel Galaxy Outlaw,False,5 - Uncategorized,62
Rebop Blasters,False,9 - Trash,
Recipe for Disaster,False,9 - Trash,
Record Store Nightmare,False,9 - Trash,
Red Embrace (BL Visual Novel),False,9 - Trash,
"Redd's Runaway",False,9 - Trash,
Redout 2,False,5 - Uncategorized,
Redout: Enhanced Edition,False,5 - Uncategorized,80
Refactor,False,9 - Trash,
Regina & Mac,False,9 - Trash,
reIterate(),False,9 - Trash,
Relicta,False,5 - Uncategorized,61
Reminiscence in the Night,False,9 - Trash,
Remnant: From the Ashes,False,3 - Plan to Play,79
Repurpose (Demo),False,9 - Trash,
Requiem: Avenging Angel,False,5 - Uncategorized,73
Restricted Airspace,False,9 - Trash,
Resynth,False,9 - Trash,
Retrace,False,9 - Trash,
Retromancer,False,9 - Trash,
Rettend - File #1,False,9 - Trash,
Reverie,False,9 - Trash,
Revolver and Co,False,9 - Trash,
"Rhythm 'n Bullets - VR",False,9 - Trash,
Riba,False,9 - Trash,
Ring of Pain,False,5 - Uncategorized,88
Ring of Pain,True,5 - Uncategorized,52
RIOT - Civil Unrest,False,5 - Uncategorized,67
Rip Them Off,False,9 - Trash,
Ripped Pants at Work,False,5 - Uncategorized,70
Ripple,False,9 - Trash,
Rise of Industry,False,5 - Uncategorized,53
Rise of the Tomb Raider: 20 Year Celebration,False,5 - Uncategorized,81
Rising Dusk,False,5 - Uncategorized,70
Rising Hell,False,5 - Uncategorized,70
Rising Storm 2: Vietnam,False,5 - Uncategorized,70
RITE,False,9 - Trash,
Ritual of the Moon,False,9 - Trash,
Riverbond,False,5 - Uncategorized,70
Road Trip,False,9 - Trash,
Roarr! Jurassic Edition,False,5 - Uncategorized,39
Robin Hood,False,4 - Later,62
Robo Runner,False,9 - Trash,
Robot Wants It All,False,5 - Uncategorized,70
RoboVDino,False,9 - Trash,
Rogue Legacy,False,3 - Plan to Play,76
RogueCraft Squadron,False,9 - Trash,
RogueSlide,False,9 - Trash,
Roll for Confidence: A CMC Vignette,False,9 - Trash,
Roly-Polo,False,9 - Trash,
Rooftop Cop,False,9 - Trash,
"ROOM EXPLORER 2010: DELUXE LOVER'S PAQUE",False,9 - Trash,
Rorschach Plus,False,9 - Trash,
Rose & Time,False,9 - Trash,
Roses Will Rise,False,9 - Trash,
Route Me Mail and Delivery Co,False,9 - Trash,
RPG in a Box,False,9 - Trash,
RPG Maker VX,False,5 - Uncategorized,60
Rubies In Space (FULL GAME) (Old Build),False,9 - Trash,
Rulent Tower VR,False,9 - Trash,
Runbow,False,5 - Uncategorized,70
Rune of Eternity,False,9 - Trash,
Running Askew,False,9 - Trash,
Rustler,False,5 - Uncategorized,70
Rusty Lake Hotel,False,5 - Uncategorized,59
Ruya,False,9 - Trash,
Sable,False,5 - Uncategorized,73
Safari Zone,False,9 - Trash,
Safe Journey,False,9 - Trash,
Sagebrush,False,5 - Uncategorized,76
Saints Row,False,5 - Uncategorized,47
Saints Row IV Re-Elected,False,5 - Uncategorized,77
Salt and Sanctuary,False,5 - Uncategorized,81
Sandstorm,False,9 - Trash,
Sangwich,False,9 - Trash,
Sanitarium,False,5 - Uncategorized,85
Sarawak,False,5 - Uncategorized,
Satisfactory,False,5 - Uncategorized,79
Saturnalia,False,5 - Uncategorized,
Sausage Sports Club,False,5 - Uncategorized,70
Say No! More,False,5 - Uncategorized,84
Schildmaid MX,False,9 - Trash,
Science Girls!,False,9 - Trash,
Second Extinction,False,5 - Uncategorized,
Secrets of Raetikon,False,5 - Uncategorized,60
Sector 781,False,9 - Trash,
seethe and scab,False,9 - Trash,
Selection Process,False,9 - Trash,
SELECTIONS OF TITAN ART BOOK,False,9 - Trash,
Self.destroy(),False,9 - Trash,
Self-Checkout Unlimited,False,9 - Trash,
Septiny,False,9 - Trash,
Serendipity,False,9 - Trash,
Serious Scramblers,False,5 - Uncategorized,70
Seven of Heart,False,9 - Trash,
Severed Steel,False,5 - Uncategorized,73
Sewer Rave,False,9 - Trash,
Shadow of the Tomb Raider,False,5 - Uncategorized,78
Shadow Tactics Blades of the Shogun,False,5 - Uncategorized,
Shadows: Awakening,False,5 - Uncategorized,70
"Shantae and the Pirate's Curse",False,5 - Uncategorized,84
shapez,False,5 - Uncategorized,73
Shattered Planet,False,5 - Uncategorized,50
She Who Fights Monsters: Choice Edition,False,9 - Trash,
Shell Out Showdown,False,9 - Trash,
Shenmue 3,False,5 - Uncategorized,65
Shing!,False,5 - Uncategorized,71
Shiny Gauntlet,False,9 - Trash,
Shipwreck,False,9 - Trash,
Shmup Ball,False,9 - Trash,
Shn!p,False,9 - Trash,
SHNIPERS,False,9 - Trash,
Shoot Shoot Mega Pack,False,5 - Uncategorized,70
Shovel Escape,False,9 - Trash,
Shredded Secrets,False,9 - Trash,
Shrine to Anubis,False,9 - Trash,
Shrinespark,False,9 - Trash,
"Shu's Garden",False,5 - Uncategorized,60
SHUT IN,False,9 - Trash,
Shutter Stroll,False,9 - Trash,
sideliner,False,9 - Trash,
Sidewords,False,5 - Uncategorized,70
Sightline,False,9 - Trash,
Signs of the Sojourner,False,5 - Uncategorized,
Silicon Zeroes,False,5 - Uncategorized,80
Silver Grapple,False,5 - Uncategorized,70
Simple Complex Puzzle,False,9 - Trash,
SkateBIRD,False,5 - Uncategorized,
SKELERUN,False,9 - Trash,
Sketchy Racing,False,9 - Trash,
Skuiggle,False,9 - Trash,
Skullgirls 2nd Encore,False,5 - Uncategorized,77
Sky Rogue,False,5 - Uncategorized,80
Skyling : Garden Defense,False,5 - Uncategorized,70
Slain: Back from Hell,False,5 - Uncategorized,61
Slain: Back From Hell,True,5 - Uncategorized,60
Slay the Spire,False,4 - Later,96
Slimed,False,9 - Trash,
Slimes,False,9 - Trash,
Slinger VR,False,5 - Uncategorized,66
SlipSpeed,False,9 - Trash,
SLUDGE LIFE,False,5 - Uncategorized,87
Sly Panda,False,9 - Trash,
SMITE,False,7 - Dropped,79
SMITE - Public Test,False,9 - Trash,
Snack Scoffer,False,9 - Trash,
Snake vs Snake,False,9 - Trash,
Snowdown,False,9 - Trash,
Soft Underbelly,False,9 - Trash,
Sokobond,False,5 - Uncategorized,60
Solace State Demo,False,9 - Trash,
Solar Blaster: Challenge Stage,False,9 - Trash,
Solar Danmaku,False,9 - Trash,
SOLAS 128,False,9 - Trash,
Sole Iron Tail,False,9 - Trash,
SOLITUNE,False,5 - Uncategorized,70
Somewhere Better,False,9 - Trash,
SOMOS,False,9 - Trash,
songs and flowers,False,9 - Trash,
Songs of Conquest,False,4 - Later,85
Sonic Mania,False,5 - Uncategorized,84
Sonny,False,9 - Trash,
"Sophie's Cubes",False,9 - Trash,
"Sophie's Safecracking Simulator",False,9 - Trash,
Soul Searching,False,5 - Uncategorized,70
Soulblight,False,5 - Uncategorized,50
Soulstice,False,5 - Uncategorized,
Soundodger+,False,5 - Uncategorized,80
soundStrider,False,9 - Trash,
SPACE / MECH / PILOT - THE UNIVERSE DRIVE 1.0,False,9 - Trash,
Space Battalion Alpha,False,9 - Trash,
Space Duet,False,9 - Trash,
Space Fuel,False,9 - Trash,
Space Gladiators,False,5 - Uncategorized,87
Space Hole 2016,False,5 - Uncategorized,70
Space Hole 2018,False,5 - Uncategorized,70
Space Hole 2020,False,9 - Trash,
space shooter,False,9 - Trash,
SPARE,False,9 - Trash,
Spaß Taxi,False,9 - Trash,
Speed Dating for Ghosts,False,5 - Uncategorized,70
Spell Casting,False,9 - Trash,
Spell Slingers: Trick or Treat,False,9 - Trash,
Spelldrifter,False,9 - Trash,
Spelunky,False,3 - Plan to Play,86
Spirit Cleaning,False,9 - Trash,
Spirit of the North,False,5 - Uncategorized,
Spirit Swap: Lofi Beats to Match-3 To,False,9 - Trash,
SPLASH BLAST PANIC,False,9 - Trash,
Splinter Zone,False,9 - Trash,
Splitgate,False,8 - Dead,90
SPOOKWARE,False,5 - Uncategorized,
Spooky Ghosts Dot Com,False,5 - Uncategorized,60
Spooky Station,False,9 - Trash,
Spooky Waltz,False,9 - Trash,
Spring Falls,False,9 - Trash,
Spyro Reignited Trilogy,False,5 - Uncategorized,92
Stacks On Stacks (On Stacks),False,9 - Trash,
Stalingrad,False,5 - Uncategorized,83
Starbound,False,5 - Uncategorized,71
Starbound - Unstable,False,9 - Trash,
